Migrant_ID,Current_City,Origin_State,Origin_City,Age,Gender,Occupation,Migration_Reason,Migration_Date,Status
MIG00001,Latur,Odisha,Bhubaneswar,48,Other,Factory Worker,Family Move,2025-09-25,Active
MIG00002,Mira-Bhayandar,Odisha,Cuttack,20,Female,Factory Worker,Family Move,2025-11-05,Active
MIG00003,Hingoli,Rajasthan,Jodhpur,44,Other,Security Guard,Education,2021-11-18,Active
MIG00004,Nandurbar,West Bengal,Kolkata,39,Other,Security Guard,Displacement,2021-01-20,Active
MIG00005,Nagpur,Gujarat,Surat,59,Other,Domestic Help,Employment,2025-06-20,Active
MIG00006,Sindhudurg,Odisha,Bhubaneswar,32,Male,Agricultural Laborer,Family Move,2025-08-27,Active
MIG00007,Hingoli,Gujarat,Vadodara,49,Male,Daily Wage Laborer,Education,2022-06-18,Active
MIG00008,Kolhapur,Madhya Pradesh,Indore,53,Female,Daily Wage Laborer,Displacement,2025-02-23,Active
MIG00009,Sindhudurg,Odisha,Cuttack,52,Other,Security Guard,Displacement,2022-03-24,Active
MIG00010,Palghar,Rajasthan,Jodhpur,48,Female,Small Vendor,Education,2023-05-12,Active
MIG00011,Navi Mumbai,Telangana,Hyderabad,19,Female,Security Guard,Education,2023-08-27,Active
MIG00012,Osmanabad,Odisha,Cuttack,23,Male,Security Guard,Marriage,2025-09-04,Active
MIG00013,Sindhudurg,Andhra Pradesh,Visakhapatnam,41,Female,Construction Worker,Marriage,2021-08-27,Active
MIG00014,Kolhapur,Chhattisgarh,Bhilai,26,Other,Daily Wage Laborer,Education,2021-03-28,Active
MIG00015,Jalgaon,Andhra Pradesh,Vijayawada,31,Female,Driver,Employment,2022-01-21,Active
MIG00016,Kalyan-Dombivli,West Bengal,Kolkata,34,Other,Factory Worker,Family Move,2021-09-25,Active
MIG00017,Washim,Gujarat,Ahmedabad,58,Other,Driver,Displacement,2021-02-04,Active
MIG00018,Bhusawal,West Bengal,Durgapur,45,Female,Construction Worker,Family Move,2023-04-28,Active
MIG00019,Amravati,Bihar,Muzaffarpur,58,Male,Small Vendor,Family Move,2022-05-28,Active
MIG00020,Nagpur,Odisha,Bhubaneswar,57,Female,Daily Wage Laborer,Employment,2024-11-11,Active
MIG00021,Chandrapur,Madhya Pradesh,Jabalpur,25,Male,Agricultural Laborer,Displacement,2024-02-29,Active
