id,cause_variable,effect_variable,lag_days,strength,confidence_lower,confidence_upper,p_value,is_nonlinear,nonlinearity_type,sample_size,analysis_method,created_at,updated_at
6a494ce4-0d00-4732-ad25-b8d9c38f3589,policy_index,economic_loss,14,-0.25,-0.39,-0.11,0.001,False,,1361,Constraint-based,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
7566cfed-0b4e-4602-9625-a0821cbf4e3d,elevation,population,162,-0.71,-0.8,-0.65,0.001,True,Quadratic,531,Constraint-based,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
b46cf518-e016-4fcc-8226-c12674aba331,drought_index,elevation,101,0.23,0.13,0.38,0.001,False,,1145,PC Algorithm,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
839a8a74-0469-44b7-96a1-aaa53e001f90,policy_index,elevation,81,0.15,0.04,0.27,0.001,False,,1049,Granger Causality,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
e6ec89b9-310e-4f93-9092-5a050b87c002,policy_index,population,147,0.45,0.33,0.57,0.001,False,,1592,Constraint-based,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
1e84b840-328c-4390-8d8f-f901399dc09a,water_stress_index,crop_failure_rate,22,-0.86,-1.0,-0.74,0.001,True,Quadratic,861,DirectLiNGAM,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
87e4b789-38c1-4a23-8a37-8db9e833f977,economic_loss,policy_index,69,-0.27,-0.34,-0.12,0.001,False,,641,PC Algorithm,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
54dd2bb4-2b1a-4d11-9815-50d781c339a2,population,elevation,125,0.4,0.31,0.52,0.001,True,,1117,Granger Causality,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
86c6ee3e-40e1-4182-81cb-e4944c7e8295,economic_loss,policy_index,169,-0.29,-0.37,-0.22,0.001,True,Quadratic,1809,DirectLiNGAM,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
5e0be372-217e-4a23-9fc6-f7373ab79d9c,drought_index,policy_index,65,-1.0,-1.12,-0.95,0.001,True,Quadratic,1612,Granger Causality,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
5804a714-ba4c-48ce-8b05-bb1d5ffbe8c8,crop_failure_rate,infrastructure_quality,68,-0.13,-0.22,-0.04,0.001,True,,1053,Constraint-based,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
a85406c1-5a35-46e5-b4f7-2b332f39c17e,water_stress_index,net_migration,162,0.03,-0.11,0.13,0.001,True,,1567,Constraint-based,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
d1ecd1ef-4e52-4f43-853a-c3f8e6891b9a,water_stress_index,policy_index,139,0.6,0.46,0.69,0.001,False,,1089,PC Algorithm,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
1f6a9ce3-b5c9-4652-9df0-1efbfa21c096,policy_index,economic_loss,53,0.93,0.81,1.0,0.001,True,,1471,DirectLiNGAM,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
584e5228-e9b7-4cb5-9db9-85199964e87b,elevation,water_stress_index,159,0.68,0.56,0.79,0.001,False,,1368,DirectLiNGAM,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
ddbea038-ef2c-413f-a0b8-afeb0e5d68f3,net_migration,elevation,175,0.74,0.68,0.8,0.001,True,,502,DirectLiNGAM,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
8e86e4d7-1f03-428e-b9bd-0b659ee1685a,population,net_migration,7,0.14,0.0,0.21,0.001,True,Sigmoid,772,Constraint-based,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
620593f1-7dfe-4dbc-9710-6ded665dc678,elevation,water_stress_index,64,0.85,0.79,0.93,0.001,True,Sigmoid,1984,Granger Causality,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
a46d08c7-7c95-4d86-921b-b770dc0c29ac,elevation,net_migration,32,0.03,-0.07,0.17,0.001,True,,766,PC Algorithm,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
c646da17-94d5-4aee-9540-eb73e1fc9067,net_migration,crop_failure_rate,98,0.36,0.29,0.5,0.001,True,Logarithmic,1965,Granger Causality,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
52130632-757a-4ebc-8063-0b72e9d6038b,water_stress_index,population,101,-0.58,-0.66,-0.49,0.001,True,Quadratic,1748,Granger Causality,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
3ac8a754-a85e-47e3-95f5-db1bc2704407,population,net_migration,0,-0.84,-0.92,-0.76,0.001,True,Quadratic,1097,PC Algorithm,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
9c6ae69d-92df-4eb6-872e-f883c06fc64c,water_stress_index,population,59,-0.29,-0.4,-0.18,0.001,False,,612,Granger Causality,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
dbc895b4-a8a2-4501-8f02-842c0a3e9c53,policy_index,net_migration,29,0.11,0.03,0.25,0.001,True,Logarithmic,1729,PC Algorithm,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
2feac21b-18f5-4834-aaae-3336f0686276,economic_loss,water_stress_index,4,0.61,0.55,0.74,0.001,True,Sigmoid,610,Constraint-based,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
