City_District,Year,Season,Crop_Type,Failure_Rate_Percentage,Affected_Area_Hectares,Primary_Cause,Economic_Loss_Crores
Bhusawal,2022,Kharif,Cotton,7.72,2368.12,Drought,18.28
Washim,2022,Zaid,Jowar,26.84,2350.68,Drought,63.09
Ratnagiri,2022,Rabi,Sugarcane,6.53,336.38,Disease,2.2
Ambarnath,2023,Rabi,Onion,70.93,1668.07,Disease,118.32
Nandurbar,2022,Rabi,Cotton,14.16,4551.29,Unseasonal Rain,64.45
Wardha,2021,Zaid,Soybean,21.2,2546.79,Heatwave,53.99
Thane,2022,Rabi,Rice,22.99,4148.12,Disease,95.37
Beed,2022,Zaid,Cotton,85.35,2007.37,Disease,171.33
Pune,2021,Kharif,Jowar,92.15,2623.35,Unseasonal Rain,241.74
Parbhani,2022,Kharif,Bajra,28.59,1522.94,Soil Degradation,43.54
Chandrapur,2023,Rabi,Sugarcane,83.03,3804.6,Disease,315.9
Thane,2023,Kharif,Jowar,38.16,4067.38,Disease,155.21
Bhusawal,2021,Rabi,Bajra,91.7,402.46,Disease,36.91
Osmanabad,2021,Zaid,Wheat,76.12,3594.26,Flood,273.6
Palghar,2024,Zaid,Wheat,60.04,1038.83,Pest Attack,62.37
Ahmednagar,2024,Kharif,Onion,66.01,3632.55,Flood,239.78
Nashik,2023,Zaid,Sugarcane,69.62,2293.62,Pest Attack,159.68
Vasai-Virar,2024,Kharif,Tur (Pigeon Pea),84.56,4865.11,Soil Degradation,411.39
Nagpur,2024,Kharif,Sugarcane,79.95,4435.62,Heatwave,354.63
Akola,2022,Kharif,Jowar,16.55,2206.1,Disease,36.51
Palghar,2021,Kharif,Onion,80.4,1212.68,Heatwave,97.5
Mira-Bhayandar,2021,Rabi,Soybean,69.89,1102.76,Disease,77.07
Aurangabad,2024,Rabi,Tur (Pigeon Pea),89.26,479.35,Pest Attack,42.79
Latur,2024,Kharif,Bajra,33.81,1309.72,Disease,44.28
Thane,2021,Kharif,Onion,10.64,1051.32,Disease,11.19
Nagpur,2022,Zaid,Soybean,80.99,923.74,Heatwave,74.81
Vasai-Virar,2024,Zaid,Cotton,30.27,1172.01,Heatwave,35.48
Ichalkaranji,2023,Kharif,Wheat,49.42,4510.06,Disease,222.89
Latur,2023,Rabi,Bajra,59.55,3293.62,Unseasonal Rain,196.14
Parbhani,2022,Kharif,Onion,36.56,3608.01,Disease,131.91
Thane,2023,Zaid,Jowar,85.69,1059.94,Unseasonal Rain,90.83
Ichalkaranji,2023,Zaid,Sugarcane,78.56,1519.63,Unseasonal Rain,119.38
Vasai-Virar,2022,Rabi,Cotton,45.45,1253.34,Drought,56.96
Nandurbar,2022,Kharif,Rice,88.81,4612.11,Soil Degradation,409.6
Parbhani,2024,Kharif,Cotton,20.2,204.02,Heatwave,4.12
Latur,2022,Kharif,Wheat,75.0,4785.68,Heatwave,358.93
Ambarnath,2024,Kharif,Jowar,64.94,1306.39,Flood,84.84
Nanded,2024,Kharif,Rice,20.8,1638.81,Flood,34.09
Akola,2022,Kharif,Onion,24.15,4728.23,Flood,114.19
Parbhani,2022,Kharif,Onion,14.58,3355.54,Disease,48.92
Nagpur,2021,Zaid,Sugarcane,16.93,3177.38,Soil Degradation,53.79
Mumbai,2022,Zaid,Bajra,54.83,1549.0,Disease,84.93
Aurangabad,2022,Kharif,Bajra,78.55,4581.58,Soil Degradation,359.88
Aurangabad,2021,Rabi,Rice,28.79,1976.36,Flood,56.9
Aurangabad,2024,Kharif,Sugarcane,12.5,965.62,Unseasonal Rain,12.07
Sangli,2021,Rabi,Tur (Pigeon Pea),66.22,1571.76,Disease,104.08
Solapur,2021,Kharif,Sugarcane,90.62,682.95,Pest Attack,61.89
Dhule,2023,Zaid,Jowar,7.39,3899.84,Disease,28.82
Nashik,2024,Zaid,Onion,78.79,2926.16,Disease,230.55
Kalyan-Dombivli,2022,Zaid,Rice,9.01,183.99,Heatwave,1.66
Nanded,2021,Zaid,Onion,74.75,706.29,Flood,52.8
Bhiwandi,2024,Zaid,Tur (Pigeon Pea),42.71,1203.22,Heatwave,51.39
Vasai-Virar,2024,Rabi,Soybean,87.24,2464.52,Heatwave,215.0
Mira-Bhayandar,2024,Zaid,Rice,82.88,2862.93,Flood,237.28
Ambarnath,2021,Zaid,Cotton,33.92,629.1,Pest Attack,21.34
Mira-Bhayandar,2023,Zaid,Sugarcane,77.6,2738.62,Flood,212.52
Malegaon,2023,Kharif,Bajra,47.22,2217.03,Disease,104.69
Wardha,2023,Zaid,Rice,68.53,225.42,Heatwave,15.45
Ulhasnagar,2022,Rabi,Rice,21.51,2059.55,Soil Degradation,44.3
Washim,2021,Rabi,Jowar,11.43,635.21,Soil Degradation,7.26
Aurangabad,2024,Rabi,Onion,48.42,4066.01,Drought,196.88
Ichalkaranji,2022,Rabi,Soybean,15.93,4022.54,Soil Degradation,64.08
Nagpur,2021,Zaid,Onion,51.47,4642.92,Pest Attack,238.97
Jalna,2024,Kharif,Jowar,49.71,2016.49,Drought,100.24
Ulhasnagar,2024,Rabi,Rice,63.12,3878.52,Pest Attack,244.81
Yavatmal,2023,Rabi,Soybean,69.14,254.54,Drought,17.6
Ahmednagar,2024,Rabi,Bajra,77.36,4744.81,Unseasonal Rain,367.06
Ahmednagar,2023,Kharif,Bajra,30.68,4263.31,Unseasonal Rain,130.8
Bhusawal,2024,Kharif,Sugarcane,20.28,2452.25,Pest Attack,49.73
Kalyan-Dombivli,2023,Rabi,Bajra,6.04,2076.93,Heatwave,12.54
Ahmednagar,2023,Zaid,Cotton,65.66,1222.97,Flood,80.3
Parbhani,2022,Kharif,Soybean,68.33,498.6,Pest Attack,34.07
