Record_ID,District,Year,Water_Risk_Score,Economic_Risk_Score,Infrastructure_Risk_Score,Composite_Risk_Score,Risk_Category,Primary_Risk_Factor
DR_10000,Nagpur,2024,2.35,9.05,2.14,4.99,Medium,Industrial Decline
DR_10001,Ahmednagar,2024,1.62,5.14,3.2,3.35,Medium,Unemployment
DR_10002,Thane,2020,7.21,10,5.04,7.89,Critical,Unemployment
DR_10003,Jalgaon,2023,9.38,8.08,4.46,7.88,Critical,Flood Risk
DR_10004,Washim,2023,2.66,7.53,9.04,5.89,High,Aging Infrastructure
DR_10005,Satara,2022,5.61,2.61,6.89,4.67,Medium,Aging Infrastructure
DR_10006,Sindhudurg,2023,8.45,8.69,8.56,8.57,Critical,Unemployment
DR_10007,Bhandara,2024,9.99,4.56,1.1,6.04,High,Flood Risk
DR_10008,Hingoli,2021,6.37,4.72,3.18,5.07,High,Drought Susceptibility
DR_10009,Bhandara,2024,8.75,3.65,8.64,6.69,High,Groundwater Depletion
DR_10010,Solapur,2024,8.35,4.24,2.82,5.6,High,Flood Risk
DR_10011,Thane,2024,4.28,8.32,2.16,5.47,High,Unemployment
DR_10012,Dhule,2021,4.24,6.84,4.48,5.33,High,Unemployment
DR_10013,Latur,2021,7.3,1.42,6.76,4.84,Medium,Flood Risk
DR_10014,Mumbai City,2022,9.3,9.72,8.34,9.28,Critical,Industrial Decline
DR_10015,Wardha,2020,7.32,4.18,8.98,6.39,High,Aging Infrastructure
DR_10016,Osmanabad,2022,1.61,4.53,5.25,3.5,Medium,Aging Infrastructure
DR_10017,Jalna,2023,1.75,4.87,8.71,4.39,Medium,Aging Infrastructure
DR_10018,Kolhapur,2023,7.13,8.3,4.29,7.03,High,Industrial Decline
DR_10019,Buldhana,2022,8.24,9.22,8.06,8.6,Critical,Industrial Decline
DR_10020,Nandurbar,2021,8.43,8.96,6.77,8.31,Critical,Industrial Decline
DR_10021,Yavatmal,2022,4.98,9.25,6.57,7.0,High,Industrial Decline
DR_10022,Latur,2024,7.21,6.11,1.4,5.61,High,Groundwater Depletion
DR_10023,Gadchiroli,2024,3.37,6.22,5.55,4.94,Medium,Industrial Decline
DR_10024,Gondia,2023,2.85,9.07,6.43,6.05,High,Inflation Impact
DR_10025,Ratnagiri,2023,8.78,9.38,2.82,7.83,Critical,Inflation Impact
DR_10026,Parbhani,2021,5.97,6.93,5.95,6.35,High,Unemployment
DR_10027,Solapur,2020,5.33,8.3,4.82,6.42,High,Unemployment
DR_10028,Sangli,2023,3.88,7.45,1.8,4.89,Medium,Unemployment
DR_10029,Jalna,2022,1.62,9.16,3.17,4.95,Medium,Unemployment
DR_10030,Ratnagiri,2022,4.63,3.98,9.76,5.4,High,Aging Infrastructure
DR_10031,Palghar,2024,7.1,9.41,8.09,8.22,Critical,Unemployment
DR_10032,Hingoli,2024,7.4,2.42,1.56,4.24,Medium,Drought Susceptibility
DR_10033,Nashik,2023,6.3,6.62,2.67,5.7,High,Unemployment
DR_10034,Jalgaon,2024,3.45,8.58,8.97,6.6,High,Aging Infrastructure
DR_10035,Latur,2021,7.69,8.14,6.46,7.62,Critical,Inflation Impact
DR_10036,Yavatmal,2023,3.04,2.8,2.06,2.75,Medium,Drought Susceptibility
DR_10037,Osmanabad,2020,7.49,3.2,1.43,4.56,Medium,Groundwater Depletion
DR_10038,Ratnagiri,2023,7.31,9.16,1.19,6.82,High,Industrial Decline
DR_10039,Wardha,2020,6.42,2.77,9.13,5.5,High,Aging Infrastructure
DR_10040,Bhandara,2022,5.59,4.78,7.33,5.61,High,Aging Infrastructure
DR_10041,Kolhapur,2024,9.71,2.96,4.42,5.95,High,Drought Susceptibility
DR_10042,Osmanabad,2023,3.53,3.05,8.27,4.29,Medium,Aging Infrastructure
DR_10043,Hingoli,2024,1.01,2.6,2.17,1.88,Low,Industrial Decline
DR_10044,Palghar,2023,6.98,5.52,2.81,5.56,High,Groundwater Depletion
DR_10045,Osmanabad,2022,6.24,1.49,6.38,4.37,Medium,Aging Infrastructure
DR_10046,Sangli,2021,7.85,4.44,3.6,5.63,High,Groundwater Depletion
