id,name,description,impact_area,efficacy,cost,status,created_at
1,Policy Option 0000,A specialized intervention focused on relief.,Climate Resilience,0.33,Critical,pending,2025-02-17T06:19:59.166511
2,Policy Option 0001,A specialized intervention focused on relief.,Economic Stability,0.74,Low,active,2025-10-14T06:19:59.166511
3,Policy Option 0002,A specialized intervention focused on urban-resilience.,Water Security,0.64,Medium,active,2025-10-02T06:19:59.166511
4,Policy Option 0003,A specialized intervention focused on relief.,Water Security,0.76,High,completed,2025-12-15T06:19:59.166511
5,Policy Option 0004,A specialized intervention focused on canals.,Economic Stability,0.85,Medium,pending,2025-07-08T06:19:59.166511
6,Policy Option 0005,A specialized intervention focused on canals.,Economic Stability,0.34,Critical,pending,2025-06-13T06:19:59.166511
7,Policy Option 0006,A specialized intervention focused on canals.,Climate Resilience,0.36,Medium,pending,2025-04-03T06:19:59.166511
8,Policy Option 0007,A specialized intervention focused on canals.,Migration Management,0.93,High,completed,2025-09-29T06:19:59.166511
9,Policy Option 0008,A specialized intervention focused on desalination.,Water Security,0.84,Critical,pending,2026-01-22T06:19:59.166511
10,Policy Option 0009,A specialized intervention focused on canals.,Climate Resilience,0.66,Medium,pending,2026-01-21T06:19:59.166511
11,Policy Option 0010,A specialized intervention focused on insurance.,Economic Stability,0.51,Low,pending,2025-11-27T06:19:59.167508
12,Policy Option 0011,A specialized intervention focused on desalination.,Water Security,0.91,Critical,active,2025-04-12T06:19:59.167508
13,Policy Option 0012,A specialized intervention focused on desalination.,Migration Management,0.78,High,completed,2025-10-05T06:19:59.167508
14,Policy Option 0013,A specialized intervention focused on canals.,Economic Stability,0.38,Low,pending,2025-08-15T06:19:59.167508
15,Policy Option 0014,A specialized intervention focused on insurance.,Water Security,0.52,Medium,pending,2025-10-19T06:19:59.167508
16,Policy Option 0015,A specialized intervention focused on relief.,Water Security,0.93,Low,active,2025-12-22T06:19:59.167508
17,Policy Option 0016,A specialized intervention focused on relief.,Water Security,0.72,Low,active,2025-07-23T06:19:59.167508
18,Policy Option 0017,A specialized intervention focused on canals.,Migration Management,0.65,High,pending,2025-11-16T06:19:59.167508
19,Policy Option 0018,A specialized intervention focused on desalination.,Water Security,0.65,High,active,2025-07-04T06:19:59.167508
20,Policy Option 0019,A specialized intervention focused on urban-resilience.,Water Security,0.53,High,pending,2025-04-17T06:19:59.167508
21,Policy Option 0020,A specialized intervention focused on insurance.,Water Security,0.32,Critical,pending,2025-05-04T06:19:59.167508
22,Policy Option 0021,A specialized intervention focused on insurance.,Economic Stability,0.57,Medium,active,2025-03-15T06:19:59.167508
23,Policy Option 0022,A specialized intervention focused on canals.,Economic Stability,0.91,Low,completed,2025-10-01T06:19:59.167508
24,Policy Option 0023,A specialized intervention focused on insurance.,Economic Stability,0.66,High,pending,2025-03-03T06:19:59.167508
25,Policy Option 0024,A specialized intervention focused on desalination.,Climate Resilience,0.53,Low,completed,2025-12-29T06:19:59.168505
26,Policy Option 0025,A specialized intervention focused on insurance.,Climate Resilience,0.86,Low,completed,2025-07-14T06:19:59.168505
27,Policy Option 0026,A specialized intervention focused on urban-resilience.,Water Security,0.4,Critical,active,2025-09-23T06:19:59.168505
28,Policy Option 0027,A specialized intervention focused on canals.,Migration Management,0.68,Low,pending,2025-04-29T06:19:59.168505
29,Policy Option 0028,A specialized intervention focused on desalination.,Migration Management,0.52,Critical,completed,2025-08-21T06:19:59.168505
30,Policy Option 0029,A specialized intervention focused on relief.,Migration Management,0.44,Medium,pending,2025-05-17T06:19:59.168505
31,Policy Option 0030,A specialized intervention focused on urban-resilience.,Migration Management,0.4,Medium,completed,2025-12-05T06:19:59.168505
32,Policy Option 0031,A specialized intervention focused on insurance.,Migration Management,0.38,High,pending,2025-05-14T06:19:59.168505
33,Policy Option 0032,A specialized intervention focused on canals.,Water Security,0.37,Medium,pending,2025-12-06T06:19:59.168505
34,Policy Option 0033,A specialized intervention focused on urban-resilience.,Migration Management,0.36,Medium,pending,2025-12-27T06:19:59.168505
