City,Date,Water_Stress_Index,Availability_Liters_Per_Capita,Demand_Liters_Per_Capita,Groundwater_Level_Meters,Risk_Category
Kolhapur,2024-06-02,6.55,68,137,28.5,High
Osmanabad,2024-12-10,2.94,56,121,58.7,Medium
Satara,2023-07-12,4.21,52,124,35.4,Medium
Ahmednagar,2024-10-16,8.87,95,166,59.2,Extremely High
Kolhapur,2023-09-16,9.77,89,134,59.6,Extremely High
Nagpur,2024-10-17,2.19,106,126,31.5,Low
Sindhudurg,2023-12-16,4.69,104,137,28.7,Medium
Bhusawal,2024-04-07,3.73,66,120,22.5,Medium
Beed,2023-02-01,8.83,19,126,63.3,Extremely High
Yavatmal,2024-12-11,7.89,48,165,63.0,High
Ahmednagar,2023-09-05,6.6,17,182,34.6,High
Wardha,2025-11-30,9.61,65,130,69.5,Extremely High
Sindhudurg,2025-01-28,7.28,35,167,70.6,High
Beed,2024-01-17,5.46,43,138,32.5,High
Dhule,2024-10-22,6.14,48,181,50.4,High
Latur,2024-05-06,7.78,23,130,64.5,High
Bhandara,2024-01-22,3.93,103,141,52.2,Medium
Solapur,2023-06-20,4.12,72,110,56.3,Medium
Satara,2024-11-19,7.11,31,123,38.3,High
Kalyan-Dombivli,2025-08-17,2.66,42,156,57.6,Medium
Dhule,2023-01-02,6.36,26,139,54.5,High
Thane,2024-11-23,3.43,69,140,24.2,Medium
Thane,2023-09-05,6.91,24,131,61.3,High
Panvel,2025-02-23,1.39,59,162,30.7,Low
Mira-Bhayandar,2025-07-29,7.24,91,139,63.5,High
Dhule,2023-07-15,2.61,85,172,28.5,Medium
Kalyan-Dombivli,2024-05-16,9.83,95,150,35.9,Extremely High
Jalna,2025-11-18,5.37,108,175,37.1,High
Ahmednagar,2023-02-19,8.67,79,134,58.6,Extremely High
Aurangabad,2024-10-31,2.11,136,163,25.4,Low
Navi Mumbai,2023-02-07,2.48,114,126,27.8,Low
Ahmednagar,2025-03-12,8.09,71,182,45.0,Extremely High
Latur,2025-03-29,1.4,111,179,31.6,Low
Chandrapur,2024-12-05,2.48,95,110,33.7,Low
Aurangabad,2023-09-07,1.15,47,111,29.9,Low
Ambarnath,2023-10-17,7.05,59,158,39.7,High
Bhusawal,2024-10-26,4.54,42,178,31.7,Medium
Malegaon,2025-07-23,9.32,19,179,40.5,Extremely High
Osmanabad,2023-12-13,4.1,71,128,55.4,Medium
Navi Mumbai,2023-07-25,9.25,32,157,37.1,Extremely High
Osmanabad,2024-05-02,9.25,25,185,37.5,Extremely High
Mumbai,2024-12-18,3.67,131,172,56.2,Medium
Amravati,2024-10-29,7.11,26,173,41.0,High
Bhiwandi,2023-04-05,1.18,62,173,8.7,Low
Osmanabad,2024-06-08,4.24,96,159,26.3,Medium
Kolhapur,2025-10-26,7.28,40,132,63.7,High
Hingoli,2025-04-05,4.39,75,182,55.2,Medium
Bhandara,2024-07-13,3.11,79,130,33.7,Medium
Sindhudurg,2023-10-01,3.91,94,166,25.8,Medium
Nagpur,2024-11-12,4.4,42,167,49.8,Medium
Chandrapur,2025-11-19,8.67,60,142,36.5,Extremely High
Thane,2024-12-31,3.73,107,179,36.3,Medium
